color,memory,model,name,price,seller,sku,url
iphone7 plus,24Kt 黑金 256GB,,全球购Apple 全球购 Gold Elite 尊享奢华 iphone 镀金手机 私人定制 iphone7 plus 24Kt 黑金 256GB,37999.0,GIT数码海外旗舰店,1993542991,https://item.jd.hk/1993542991.html
黑色,64G,AppleiPhone XR,Apple 苹果 iphone XR 手机 黑色 64G,6899.0,牧申手机旗舰店,32242288360,http://item.jd.com/32242288360.html
金色,64GB,Apple 苹果手机 iPhone XS  移动联通电信4G手机 金色 64GB,Apple 苹果手机 iPhone XS  移动联通电信4G手机 金色 64GB,8999.0,元厚手机专营店,32897760072,http://item.jd.com/32897760072.html
金色,,AppleiPhone6,Apple 苹果6 iPhone6 手机 金色 公开全网通(32G)标配,1999.0,融一手机专营店,19036593197,http://item.jd.com/19036593197.html
金色,,Apple苹果iPhone6,Apple 苹果6 iPhone 6 手机 金色 全网通4G 32GB,1999.0,华信通手机专营店,17881404525,http://item.jd.com/17881404525.html
金色,,Apple 苹果6 iPhone6 32G 移动联通电信4G手机全网通 国行正品 金色 32G,Apple 苹果6 iPhone6 32G 移动联通电信4G手机全网通 国行正品 金色 32G,2099.0,中恒国信手机旗舰店,23790799963,http://item.jd.com/23790799963.html
金色,256G,Apple iPhone XS Max 移动联通电信4G手机 金色 256G,Apple iPhone XS Max 移动联通电信4G手机 金色 256G,10448.0,Apple晨星泰合专卖店,32942104635,http://item.jd.com/32942104635.html
玫瑰金,全网通 32GB,Apple 苹果 iPhone6s Plus 移动联通电信4G 手机 玫瑰金 全网通 32GB,Apple 苹果 iPhone6s Plus 移动联通电信4G 手机 玫瑰金 全网通 32GB,2798.0,华顶聚瑞手机旗舰店,11500996608,http://item.jd.com/11500996608.html
银白色,128GB 标配,,全球购Apple 苹果iPhone7 Plus 港版 移动联通4G 全新正品未激活 苹果智能手机 银白色 128GB 标配,5480.0,CSL海外专营店,1994921193,https://item.jd.hk/1994921193.html
银色,256GB 美版 全网通4G,,全球购苹果（Apple） 苹果iPhone8 Plus 港版/美版 移动联通电信4G 全新正品 苹果手机 银色 256GB 美版 全网通4G,6599.0,美丽生活馆海外专营店,23936989188,https://item.jd.hk/23936989188.html
金色,全网通 64GB,Apple 苹果8Plus  iPhone8 Plus 移动联通电信4G 手机 金色 全网通 64GB,Apple 苹果8Plus  iPhone8 Plus 移动联通电信4G 手机 金色 全网通 64GB,6018.0,华顶聚瑞手机旗舰店,16590255396,http://item.jd.com/16590255396.html
iphone 8  红色 特别版,日版有锁两网 64GB,,全球购Apple iphone X 有锁  苹果8/8Puls  苹果X 有锁 便宜的苹果 智能手机 iphone 8  红色 特别版 日版有锁两网 64GB,3688.0,J two全球购专营店,29206899577,https://item.jd.hk/29206899577.html
深空灰色,256GB,AppleiPhone X ,Apple 苹果 iPhone X 全面屏手机 深空灰色 256GB,8699.0,银河信业手机专营店,28446937773,http://item.jd.com/28446937773.html
玫瑰金,官方标配 32GB,AppleiPhone6s Plus,Apple 苹果 iPhone 6s Plus(A1699) 5.5英寸全网通4G智能手机 玫瑰金 官方标配 32GB,2929.0,明日手机专营店,11357751613,http://item.jd.com/11357751613.html
深空灰色,全网通版 64G,Apple 苹果 iPhone X 全面屏手机 深空灰色 全网通版 64G,Apple 苹果 iPhone X 全面屏手机 深空灰色 全网通版 64G,7488.0,福气多多通信专营店,32213407021,http://item.jd.com/32213407021.html
玫瑰金,128GB 全国联保,APPLE 苹果 iPhone6s Plus国行  Apple手机【国行保障】【直降到底】 玫瑰金 128GB 全国联保,APPLE 苹果 iPhone6s Plus国行  Apple手机【国行保障】【直降到底】 玫瑰金 128GB 全国联保,3768.0,天环云手机数码旗舰店,15500042665,http://item.jd.com/15500042665.html
金色,64GB,Apple 苹果  iPhone8 全网通4G手机 金色 64GB,Apple 苹果  iPhone8 全网通4G手机 金色 64GB,5238.0,爵臻手机专营店,16840903541,http://item.jd.com/16840903541.html
深空灰色,全网通256G,AppleiPhone8 Plus,Apple （苹果） iPhone 8 Plus (A1864) 手机 深空灰色 全网通256G,7488.0,恒大和旗舰店,25544982965,http://item.jd.com/25544982965.html
深空灰,美版有锁 64GB 全网通4G（赠送卡贴）,,全球购Apple 苹果 iPhoneX 美版激活有锁（赠送卡贴使用）移动联通电信4G 苹果智能手机 深空灰 美版有锁 64GB 全网通4G（赠送卡贴）,5569.0,国英生活馆海外专营店,26603805544,https://item.jd.hk/26603805544.html
深空灰【全国联保】,64G【Plus专享】,APPLE 苹果 iPhoneX 新品全面屏手机Apple x【送延保一年】国行 深空灰【全国联保】 64G【Plus专享】,APPLE 苹果 iPhoneX 新品全面屏手机Apple x【送延保一年】国行 深空灰【全国联保】 64G【Plus专享】,8288.0,天环云手机数码旗舰店,30050690021,http://item.jd.com/30050690021.html
金色,,Apple 苹果6 iPhone6 移动联通电信 智能手机 金色 全网通 32G,Apple 苹果6 iPhone6 移动联通电信 智能手机 金色 全网通 32G,2028.0,炜东通信专营店,19584264013,http://item.jd.com/19584264013.html
金色,全网通128G,Apple 苹果 iPhone6s Plus 手机 金色 全网通128G,Apple 苹果 iPhone6s Plus 手机 金色 全网通128G,3799.0,鹏瑶手机专营店,16462803161,http://item.jd.com/16462803161.html
深空灰色,全网通 64G,Apple苹果X,Apple 苹果X iPhoneX 全面屏手机 深空灰色 全网通 64G,7199.0,泰业手机专营店,25544386569,http://item.jd.com/25544386569.html
金色,全网通(32GB ),Apple 苹果 iPhone 6s Plus 手机 金色 全网通(32GB ),Apple 苹果 iPhone 6s Plus 手机 金色 全网通(32GB ),2868.0,聚捷联盛手机旗舰店,11269294956,http://item.jd.com/11269294956.html
金色,官方标配 32G,AppleiPhone6,Apple 苹果 iPhone6移动联通电信4G手机 金色 官方标配 32G,1999.0,牧申手机旗舰店,11428646863,http://item.jd.com/11428646863.html
红色,全网通64G,Apple 苹果  iPhone 8 plus 手机 红色 全网通64G,Apple 苹果  iPhone 8 plus 手机 红色 全网通64G,5878.0,聚捷联盛手机旗舰店,27107283896,http://item.jd.com/27107283896.html
深空灰,64G,AppleiPhone XS Max,Apple 苹果iphone xs max手机 深空灰 64G,10599.0,恒大和旗舰店,32853824570,http://item.jd.com/32853824570.html
金色,512G,Apple 苹果 iPhone XS Max (A2104) 手机 全网通 金色 512G,Apple 苹果 iPhone XS Max (A2104) 手机 全网通 金色 512G,12799.0,中国移动手机官方旗舰店,32944865430,http://item.jd.com/32944865430.html
银色,全网通  256G,Apple 苹果x iPhonex 全面屏 拍照手机 银色 全网通  256G,Apple 苹果x iPhonex 全面屏 拍照手机 银色 全网通  256G,8488.0,炜东通信专营店,19666641972,http://item.jd.com/19666641972.html
深空灰,全网通256G,Apple 苹果 iphone xs max 手机 双卡双待 深空灰 全网通256G,Apple 苹果 iphone xs max 手机 双卡双待 深空灰 全网通256G,10888.0,炜东通信专营店,32961896245,http://item.jd.com/32961896245.html
金色,512GB,APPLE 苹果 iPhone XS Max 手机 移动电信联通4G Plus 双卡双待 金色 512GB,APPLE 苹果 iPhone XS Max 手机 移动电信联通4G Plus 双卡双待 金色 512GB,12588.0,天环云手机数码旗舰店,32951408663,http://item.jd.com/32951408663.html
深空灰,美版 全网通 有锁 256GB （赠送卡贴）,,全球购Apple 苹果 iPhoneX 美版激活有锁（赠送卡贴使用） 移动联通电信4G 苹果智能手机 深空灰 美版 全网通 有锁 256GB （赠送卡贴）,6180.0,CSL海外专营店,23405860291,https://item.jd.hk/23405860291.html
香槟金,,Apple苹果6,Apple 苹果6 iPhone6手机 香槟金 全网通32GB,2069.0,中益德诚手机专营店,32358354345,http://item.jd.com/32358354345.html
银色,全网通 128GB,Apple 苹果 iPhone7 Plus 移动联通电信4G 手机 银色 全网通 128GB,Apple 苹果 iPhone7 Plus 移动联通电信4G 手机 银色 全网通 128GB,5788.0,华顶聚瑞手机旗舰店,11439252930,http://item.jd.com/11439252930.html
金色,全网通64G,Apple 苹果xs iphonexs 手机 金色 全网通64G,Apple 苹果xs iphonexs 手机 金色 全网通64G,8138.0,炜东通信专营店,32147325778,http://item.jd.com/32147325778.html
金色,全网通 64G,Apple 苹果 iPhone 8 plus 手机 金色 全网通 64G,Apple 苹果 iPhone 8 plus 手机 金色 全网通 64G,5999.0,泰业手机专营店,25545022272,http://item.jd.com/25545022272.html
黑灰色,256GB美版两网激活有锁,,全球购Apple APPLE 现货 iPhoneX 苹果X美版/日版有锁激活赠卡贴4G智能手机 黑灰色 256GB美版两网激活有锁,6100.0,XINKE全球购专营店,18799942645,https://item.jd.hk/18799942645.html
黑色,256GB 美版激活有锁  全网通4G,,全球购Apple 苹果 iPhone X 美版/日版 全新激活有锁 移动联通电信4G 苹果智能手机 黑色 256GB 美版激活有锁  全网通4G,6180.0,CSL海外专营店,24838051964,https://item.jd.hk/24838051964.html
深空灰色,全网通256G,AppleiPhone X,Apple 苹果 iPhone X (A1865) 手机 深空灰色 全网通256G,8999.0,恒大和旗舰店,25540408291,http://item.jd.com/25540408291.html
深空灰,全网通 32GB,Apple 苹果 iPhone 6s Plus 4G手机 深空灰 全网通 32GB,Apple 苹果 iPhone 6s Plus 4G手机 深空灰 全网通 32GB,2858.0,杰凌手机旗舰店,15195744280,http://item.jd.com/15195744280.html
金色,64G 【两网 移动联通4G】,,全球购【口碑好店】Apple 苹果 iPhone8Plus 8P 8 Plus手机 无锁 全新激活 金色 64G 【两网 移动联通4G】,5298.0,酷乐数码全球购专营店,31862877979,https://item.jd.hk/31862877979.html
金色,全网通 32GB,AppleiPhone6s Plus,Apple 苹果  iPhone 6s Plus手机 金色 全网通 32GB,2849.0,牧申手机旗舰店,10567966925,http://item.jd.com/10567966925.html
金色,,Apple 苹果  iPhone 6s Plus 手机 金色 全网通(32G ROM),Apple 苹果  iPhone 6s Plus 手机 金色 全网通(32G ROM),2879.0,鹏路网络手机旗舰店,11161126718,http://item.jd.com/11161126718.html
深空灰,64G,Apple  苹果 iPhone8 plus 全网通手机 深空灰 64G,Apple  苹果 iPhone8 plus 全网通手机 深空灰 64G,6028.0,炜东通信专营店,19591525712,http://item.jd.com/19591525712.html
深空灰,公开(64G)标配,Apple 苹果 iPhone8Plus 全网通4G手机 深空灰 公开(64G)标配,Apple 苹果 iPhone8Plus 全网通4G手机 深空灰 公开(64G)标配,6199.0,融一手机专营店,19036619855,http://item.jd.com/19036619855.html
iPhoneXS金色,64GB,,全球购APPLE 苹果 iPhoneXS/XS Max 港版移动联通电信4G手机 iPhoneXS金色 64GB,8169.0,东源全球购专营店,33259925891,https://item.jd.hk/33259925891.html
玫瑰金,全网通(128G),Apple 苹果 iPhone7 Plus 4G手机 玫瑰金 全网通(128G),Apple 苹果 iPhone7 Plus 4G手机 玫瑰金 全网通(128G),5788.0,新松联手机旗舰店,10666535759,http://item.jd.com/10666535759.html
金色,,Apple 苹果 iPhone 6 手机 金色 全网通(32G),Apple 苹果 iPhone 6 手机 金色 全网通(32G),1988.0,聚捷联盛手机旗舰店,11930883311,http://item.jd.com/11930883311.html
iPhoneXS 银白色5.8寸(单卡),64GB,,全球购Apple iphoneXs/Max新一代苹果 全网通 移动联通电信 双卡双待 4G手机 现货开枪 iPhoneXS 银白色5.8寸(单卡) 64GB,9299.0,乔信手机全球购专营店,33260234305,https://item.jd.hk/33260234305.html
黑色,全网通 128GB,AppleiPhone7 Plus,Apple 苹果 iPhone7 Plus 手机 黑色 全网通 128GB,5888.0,佳沪手机旗舰店,10673889493,http://item.jd.com/10673889493.html
金色,全网通4G 64GROM,AppleiPhone 8 Plus,Apple 苹果 iPhone8 Plus 手机 金色 全网通4G 64GROM,5878.0,华信通手机专营店,17863008390,http://item.jd.com/17863008390.html
金色,32GB【PLUS专享】,APPLEiPhone6,APPLE 苹果 iPhone 6 32G Apple手机 【国行联保】 金色 32GB【PLUS专享】,2088.0,天环云手机数码旗舰店,30198628316,http://item.jd.com/30198628316.html
深空灰色,美版 三网 64G,,全球购APPLE 苹果 IPhone X（海外版激活）苹果手机 移动联通 4K智能手机 防水防尘 深空灰色 美版 三网 64G,6728.0,垚虎全球购专营店,28407083442,https://item.jd.hk/28407083442.html
iPhone X 深空灰,全新激活美版全网通64G,,全球购Apple 苹果  iPhone8/8Plus/X/XS/XS Max移动联通电信4G智能手机 iPhone X 深空灰 全新激活美版全网通64G,6398.0,好东西网国际专营店,20337042558,https://item.jd.hk/20337042558.html
黑色 iPhone X,256GB 美版 全网通4G,,全球购Apple 苹果 iPhone X 港版/美版/日版 新款苹果手机全新未拆封未激活全面屏 5.8英寸 黑色 iPhone X 256GB 美版 全网通4G,7588.0,美丽生活馆海外专营店,19731562983,https://item.jd.hk/19731562983.html
磨砂黑,128GB 两网【移动联通4G】,,全球购【口碑好店】Apple  iPhone7 苹果7手机  全新激活 现货直邮 128G 磨砂黑 128GB 两网【移动联通4G】,3888.0,酷乐数码全球购专营店,22835445705,https://item.jd.hk/22835445705.html
金色（ XS MAX ）,64GB,,全球购Apple iPhone XS Max 苹果新款 全网通4G手机 A12仿生芯片 新品全面屏智能手机 金色（ XS MAX ） 64GB,9998.0,名品荟海外专营店,32984835506,https://item.jd.hk/32984835506.html
深空灰,官方标配 64G,AppleiPhone 8 Plus,Apple  苹果 iPhone8 Plus (A1864)  全网通4G 智能手机 深空灰 官方标配 64G,6188.0,岗隆手机专营店,16603899404,http://item.jd.com/16603899404.html
金色,全网通4G 64GROM,AppleiPhone 8,Apple 苹果 iPhone 8 手机 金色 全网通4G 64GROM,5188.0,华信通手机专营店,17860214001,http://item.jd.com/17860214001.html
iPhone 8 银色,海外全网通 64GB（现货速发）,,全球购Apple iPhone X 8 苹果x A11处理器苹果手机  吃鸡手机 iPhone 8 银色 海外全网通 64GB（现货速发）,4138.0,HT国际专营店,1996220558,https://item.jd.hk/1996220558.html
银色,公开(64G)标配,Apple 苹果 iPhone8 全网通4G手机 银色 公开(64G)标配,Apple 苹果 iPhone8 全网通4G手机 银色 公开(64G)标配,5399.0,融一手机专营店,19037084624,http://item.jd.com/19037084624.html
金色,,Apple 苹果 iPhone 5s (A1530)移动联通双4G手机 16G 官方标配 金色,Apple 苹果 iPhone 5s (A1530)移动联通双4G手机 16G 官方标配 金色,1155.0,千瑞达手机旗舰店,25380266459,http://item.jd.com/25380266459.html
银色,全网通64GB,AppleiPhone X,Apple 苹果 iPhone X (A1865)全面屏 手机 银色 全网通64GB,7298.0,茄子手机旗舰店,18861395637,http://item.jd.com/18861395637.html
iPhone8Plus红色特别版,64GB美版有锁三网通（赠卡贴）,,全球购APPLE 苹果iPhone8/8Plus美版激活（有锁赠送卡贴使用）移动联通电信4G手机 iPhone8Plus红色特别版 64GB美版有锁三网通（赠卡贴）,4488.0,东源全球购专营店,29155016547,https://item.jd.hk/29155016547.html
深空灰,64GB,AppleiPhone XS Max,Apple iPhone XS Max 苹果新款 全网通4G手机 A12仿生芯片 新品全面屏智能手机 深空灰 64GB,9999.0,银河信业专营店,33148303328,http://item.jd.com/33148303328.html
白色【两网 移动联通】,64G,,全球购【口碑好店】 Apple iPhone8  苹果8 移动联通电信 4G手机 全新激活 无锁 白色【两网 移动联通】 64G,4398.0,酷乐数码全球购专营店,30889970607,https://item.jd.hk/30889970607.html
金色,64GB,Apple iPhone XS  移动联通电信4G手机 金色 64GB,Apple iPhone XS  移动联通电信4G手机 金色 64GB,8888.0,中通福手机专营店,32976033023,http://item.jd.com/32976033023.html
深灰色,64G,APPLE 【新】iphone8 Plus Apple苹果8P 手机 深灰色 64G,APPLE 【新】iphone8 Plus Apple苹果8P 手机 深灰色 64G,5958.0,天环云手机数码旗舰店,32582406336,http://item.jd.com/32582406336.html
金色,64G+无线充电器套餐,Apple 苹果8 iPhone8 手机 金色 64G+无线充电器套餐,Apple 苹果8 iPhone8 手机 金色 64G+无线充电器套餐,5209.0,鹏瑶手机专营店,26888812478,http://item.jd.com/26888812478.html
黑色,全网通(128GB ),Apple 苹果 iPhone 7 Plus 手机 黑色 全网通(128GB ),Apple 苹果 iPhone 7 Plus 手机 黑色 全网通(128GB ),5868.0,聚捷联盛手机旗舰店,11856959507,http://item.jd.com/11856959507.html
黑色,全网通128G 标配,Apple iPhone 7 ,Apple （苹果） iPhone 7 (A1660) 手机 黑色 全网通128G 标配,5888.0,恒大和旗舰店,33428400856,http://item.jd.com/33428400856.html
深空灰,全网通 64G,Apple 苹果 iPhone 8 4G智能手机 深空灰 全网通 64G,Apple 苹果 iPhone 8 4G智能手机 深空灰 全网通 64G,5488.0,千瑞达手机旗舰店,25376809205,http://item.jd.com/25376809205.html
玫瑰金,全网通128GB,AppleiPhone6s Plus,Apple 苹果  iPhone 6s Plus 手机 玫瑰金 全网通128GB,3858.0,爵臻手机专营店,12402409843,http://item.jd.com/12402409843.html
iPhone 8 红色（特别版）,海外全网通 64GB,,全球购Apple iPhone 8 苹果8智能手机 A11芯片 支持无线充电 吃鸡手机 iPhone 8 红色（特别版） 海外全网通 64GB,4188.0,HT国际专营店,24928669109,https://item.jd.hk/24928669109.html
银色,64GB美版三网有锁激活（赠卡贴）,,全球购Apple 苹果  iPhone8 Plus（美版激活有锁）移动联通电信4G智能手机 银色 64GB美版三网有锁激活（赠卡贴）,4588.0,XINKE全球购专营店,17866844445,https://item.jd.hk/17866844445.html
金色,64G,Apple 苹果 iPhone XS   移动联通电信4G手机 金色 64G,Apple 苹果 iPhone XS   移动联通电信4G手机 金色 64G,8399.0,Apple乐享专卖店,32953119322,http://item.jd.com/32953119322.html
iPhone X 深空灰,全新激活美版全网通64G,,全球购Apple 苹果  iPhone8/8Plus/X/XS/XS Max移动联通电信全网通4G手机 iPhone X 深空灰 全新激活美版全网通64G,6398.0,东方尚品海外专营店,21578850727,https://item.jd.hk/21578850727.html
金色,全网通32G,Apple 苹果 iPhone 6 全网通4G智能手机 金色 全网通32G,Apple 苹果 iPhone 6 全网通4G智能手机 金色 全网通32G,2018.0,OKSJ手机旗舰店,15544827807,http://item.jd.com/15544827807.html
深空灰,官方标配 64GB,AppleiPhone 8 Plus,Apple 苹果8 iPhone8 Plus 移动联通电信4G手机 深空灰 官方标配 64GB,5998.0,明日手机专营店,17254982634,http://item.jd.com/17254982634.html
红色特别版,256GB,Apple 苹果 iPhone8 Plus 全网通4G手机 红色特别版 256GB,Apple 苹果 iPhone8 Plus 全网通4G手机 红色特别版 256GB,7198.0,爵臻手机专营店,27115020273,http://item.jd.com/27115020273.html
深空灰 美版全网通 64G,,,全球购Apple 苹果手机 iPhone X 5.8英寸  全面屏 智能手机 深空灰 美版全网通 64G,6600.0,J two全球购专营店,25647466166,https://item.jd.hk/25647466166.html
深空灰,256G 美版激活有锁 全网通4G,,全球购苹果（Apple） Apple 苹果 iPhone X 美版全新激活有锁 移动联通电信4G 苹果手机 深空灰 256G 美版激活有锁 全网通4G,6188.0,华维斯生活馆全球购专营店,29885569275,https://item.jd.hk/29885569275.html
iPhoneXS金色,64GB,,全球购Apple 苹果iPhone Xs/Xs Max 港版移动联通电信4G手机 iPhoneXS金色 64GB,8166.0,XINKE全球购专营店,33024780900,https://item.jd.hk/33024780900.html
金色,全网通64G,Apple 苹果 iPhone8 Plus 手机 金色 全网通64G,Apple 苹果 iPhone8 Plus 手机 金色 全网通64G,5929.0,鹏瑶手机专营店,16588283646,http://item.jd.com/16588283646.html
深空灰,全网通32G,AppleiPhone6s Plus,Apple 苹果 iphone6s plus 全网通4G智能手机 深空灰 全网通32G,2878.0,OKSJ手机旗舰店,15544265103,http://item.jd.com/15544265103.html
深空灰色,256GB,Apple 苹果 iPhone X 全面屏4G手机 深空灰色 256GB,Apple 苹果 iPhone X 全面屏4G手机 深空灰色 256GB,9688.0,优机库无界零售专营店,24092094066,http://item.jd.com/24092094066.html
金色,全网通256G,AppleiPhone XS Max,Apple 苹果iPhone XS Max手机 金色 全网通256G,11599.0,爱优创杰手机专营店,32964314955,http://item.jd.com/32964314955.html
银白色,256GB 美版激活有锁 移动联通4G,,全球购苹果（Apple） 苹果iPhoneX 全新美版有锁 （赠送卡贴）移动联通电信4G 苹果智能手机 银白色 256GB 美版激活有锁 移动联通4G,6128.0,美丽生活馆海外专营店,30509896707,https://item.jd.hk/30509896707.html
金色,,Apple 苹果6  iPhone6 手机 金色 全网通32G,Apple 苹果6  iPhone6 手机 金色 全网通32G,2029.0,鹏瑶手机专营店,15848086641,http://item.jd.com/15848086641.html
iPhoneXS金色,512GB,,全球购Apple 苹果XS iPhone Xs/Xs Max 港版移动联通电信4G手机 iPhoneXS金色 512GB,11599.0,XINKE全球购专营店,27662668150,https://item.jd.hk/27662668150.html
iPhoneXS金色,64GB,,全球购Apple 苹果iPhone Xs 港版移动联通电信4G智能手机 iPhoneXS金色 64GB,8299.0,XINKE全球购专营店,33026102515,https://item.jd.hk/33026102515.html
iPhoneXS金色,512GB,,全球购Apple 苹果XS iPhone Xs/Xs Max 港版移动联通电信4G手机 iPhoneXS金色 512GB,11599.0,XINKE全球购专营店,27662064451,https://item.jd.hk/27662064451.html
银白色,64GB  韩版  激活两网,,全球购Apple APPLE 苹果X iPhoneX韩版/日版全新激活4G智能手机 银白色 64GB  韩版  激活两网,6188.0,XINKE全球购专营店,21394103751,https://item.jd.hk/21394103751.html
iPhoneXS银白色,256GB,,全球购APPLE 苹果 iPhone XS 港版移动联通电信4G手机 iPhoneXS银白色 256GB,10099.0,东源全球购专营店,33219364714,https://item.jd.hk/33219364714.html
金色,256G,AppleIPhone 8plus,Apple iPhone 苹果8Plus(A1864) 全网通4G手机正品国行 金色 256G,7258.0,友格通讯专营店,26222385477,http://item.jd.com/26222385477.html
红色,全网通64G,Apple 苹果 iPhone 8手机 红色 全网通64G,Apple 苹果 iPhone 8手机 红色 全网通64G,4968.0,聚捷联盛手机旗舰店,27106890178,http://item.jd.com/27106890178.html
深空灰色,256GB,APPLE苹果 Apple 苹果 iPhone X 全面屏手机 全网通 深空灰色 256GB,APPLE苹果 Apple 苹果 iPhone X 全面屏手机 全网通 深空灰色 256GB,8299.0,伟德手机专营店,26017551561,http://item.jd.com/26017551561.html
银色,256G,AppleApple iPhone XS,Apple iPhone XS (A2100) 苹果移动联通电信4G手机 提供正规发票 国行原封正品 银色 256G,10199.0,顺电手机旗舰店,32948771188,http://item.jd.com/32948771188.html
红色特别版,全网通 64GB,AppleiPhone8 Plus ,Apple 苹果 iPhone8 Plus 全网通4G智能 手机 红色特别版 全网通 64GB,6199.0,银河信业专营店,28878319388,http://item.jd.com/28878319388.html
黑色,64GB 美版激活有锁 全网通4G 送卡贴,,全球购Apple 苹果 iPhoneX 美版 全新激活有锁（赠送卡贴）移动联通电信4G 苹果智能手机 黑色 64GB 美版激活有锁 全网通4G 送卡贴,5588.0,国英生活馆海外专营店,24837755062,https://item.jd.hk/24837755062.html
银色,全网通128G,Apple 苹果 iPhone7 Plus 手机 银色 全网通128G,Apple 苹果 iPhone7 Plus 手机 银色 全网通128G,5649.0,鹏瑶手机专营店,15194446104,http://item.jd.com/15194446104.html
金色,64G【PLUS专享】,APPLE 苹果8 iPhone 8 智能手机 Apple 全网通 金色 64G【PLUS专享】,APPLE 苹果8 iPhone 8 智能手机 Apple 全网通 金色 64G【PLUS专享】,5488.0,天环云手机数码旗舰店,31294345764,http://item.jd.com/31294345764.html
银色,全网通（256GB）,Apple 苹果8 plus iPhone8 plus 全网通版4G 智能手机 银色 全网通（256GB）,Apple 苹果8 plus iPhone8 plus 全网通版4G 智能手机 银色 全网通（256GB）,7599.0,中邮展鸿手机专营店,23483465943,http://item.jd.com/23483465943.html
金色,256GB,Apple苹果iPhone XS Max,Apple 苹果 iPhone XS Max 手机 金色 256GB,10288.0,华信通手机专营店,33070466309,http://item.jd.com/33070466309.html
红色,全网通 256GB,Apple 苹果 iPhone 8 Plus 手机 红色 全网通 256GB,Apple 苹果 iPhone 8 Plus 手机 红色 全网通 256GB,7198.0,杰凌手机旗舰店,27171637464,http://item.jd.com/27171637464.html
银色,64GB,AppleiPhone 8,Apple 苹果8 iPhone8 全网通4G手机 银色 64GB,5299.0,华冉数码旗舰店,16673263445,http://item.jd.com/16673263445.html
金色,全网通（32G ROM）标配,AppleiPhone7 Plus,Apple （苹果）iPhone 7 Plus (A1661)手机 金色 全网通（32G ROM）标配,4858.0,恒大和旗舰店,11158203365,http://item.jd.com/11158203365.html
深空灰,全网通 64G,AppleiPhone X,Apple 苹果 iPhoneX 全面屏手机 深空灰 全网通 64G,7588.0,岗隆手机专营店,18601046767,http://item.jd.com/18601046767.html
iphone 8 银色,64GB 港版 移动联通双4G,,全球购Apple 苹果 全新未激活 iPhone X/iPhone8/ 8Plus 港版/美版 智能手机 iphone 8 银色 64GB 港版 移动联通双4G,4799.0,蓝洲海外专营店,22996469429,https://item.jd.hk/22996469429.html
